"symbol1","symbol2","MF","BP","CC"
"ACP5","CLCN7",0.023,0,0.104
"ACP5","NES",0.046,0.087,0.057
"ACP5","CD207",0.038,0,0.116
"COMP","NES",0.361,0.146,0.028
"COMP","NDP",0.075,0.13,0.206
"HRK","BBC3",0.095,0.457,0.286
"SIX3","ENTPD2",0,0.183,0.052
"SIX3","LHX2",0.258,0.258,NA
"TNFRSF13B","TNFSF13",0.095,0.387,0.022
"PRKCG","ADRBK1",NA,NA,NA
"POLD3","POLR2L",0.343,0.314,0.3
"ASB6","ANAPC2",0.095,0.229,0.227
"ANXA5","BBC3",0.089,0.274,0.063
"RPS9","GSPT2",0.148,0.339,0.113
"DCXR","NES",0.046,0.053,0.193
"SNCB","ALAS2",0.136,0.115,0.1
"ADRBK1","GIT1",NA,NA,NA
"ANAPC2","PCGF6",0.095,0.198,0.31
"COX5A","ATP5G2",NA,NA,NA
"POLR2L","ENTPD2",0.142,0.183,0.067
"LCE3B","S100A8",0,0.231,0.073
"NES","NDP",0.046,0.182,0.018
"S100A8","FCN1",0.213,0.3,0.225
"TLX1","LHX2",0.258,NA,NA
"LHX2","CRB2",0,0.258,NA
