"symbol1"	"symbol2"	"MF"
"ACP5"	"CLCN7"	0.023
"ACP5"	"NES"	0.046
"ACP5"	"CD207"	0.038
"COMP"	"NES"	0.361
"COMP"	"NDP"	0.075
"HRK"	"BBC3"	0.095
"SIX3"	"ENTPD2"	0
"SIX3"	"LHX2"	0.258
"TNFRSF13B"	"TNFSF13"	0.095
"PRKCG"	"ADRBK1"	NA
"POLD3"	"POLR2L"	0.343
"ASB6"	"ANAPC2"	0.095
"ANXA5"	"BBC3"	0.089
"RPS9"	"GSPT2"	0.148
"DCXR"	"NES"	0.046
"SNCB"	"ALAS2"	0.136
"ADRBK1"	"GIT1"	NA
"ANAPC2"	"PCGF6"	0.095
"COX5A"	"ATP5G2"	NA
"POLR2L"	"ENTPD2"	0.142
"LCE3B"	"S100A8"	0
"NES"	"NDP"	0.046
"S100A8"	"FCN1"	0.213
"TLX1"	"LHX2"	0.258
"LHX2"	"CRB2"	0
