"topology","subject","measure","ontology","BHI"
"string","mets","Resnik","MF",0.306
"string","mets","Resnik","BP",0.208
"string","mets","Resnik","CC",0.208
"string","mets","Lin","MF",0.306
"string","mets","Lin","BP",0.222
"string","mets","Lin","CC",0.25
"string","mets","Rel","MF",0.306
"string","mets","Rel","BP",0.222
"string","mets","Rel","CC",0.25
"string","mets","Jiang","MF",0.306
"string","mets","Jiang","BP",0.222
"string","mets","Jiang","CC",0.25
"string","mets","Wang","MF",0.333
"string","mets","Wang","BP",0.208
"string","mets","Wang","CC",0.25
"string","t2d","Resnik","MF",0.446
"string","t2d","Resnik","BP",0.495
"string","t2d","Resnik","CC",0.483
"string","t2d","Lin","MF",0.449
"string","t2d","Lin","BP",0.473
"string","t2d","Lin","CC",0.496
"string","t2d","Rel","MF",0.474
"string","t2d","Rel","BP",0.473
"string","t2d","Rel","CC",0.495
"string","t2d","Jiang","MF",0.451
"string","t2d","Jiang","BP",0.473
"string","t2d","Jiang","CC",0.472
"string","t2d","Wang","MF",0.471
"string","t2d","Wang","BP",0.491
"string","t2d","Wang","CC",0.474
"string","cad","Resnik","MF",0.466
"string","cad","Resnik","BP",0.469
"string","cad","Resnik","CC",0.469
"string","cad","Lin","MF",0.464
"string","cad","Lin","BP",0.463
"string","cad","Lin","CC",0.458
"string","cad","Rel","MF",0.467
"string","cad","Rel","BP",0.465
"string","cad","Rel","CC",0.46
"string","cad","Jiang","MF",0.455
"string","cad","Jiang","BP",0.461
"string","cad","Jiang","CC",0.446
"string","cad","Wang","MF",0.448
"string","cad","Wang","BP",0.459
"string","cad","Wang","CC",0.452
"inet","mets","Resnik","MF",0.4
"inet","mets","Resnik","BP",0.4
"inet","mets","Resnik","CC",0.5
"inet","mets","Lin","MF",0.45
"inet","mets","Lin","BP",0.4
"inet","mets","Lin","CC",0.5
"inet","mets","Rel","MF",0.45
"inet","mets","Rel","BP",0.4
"inet","mets","Rel","CC",0.44
"inet","mets","Jiang","MF",0.46
"inet","mets","Jiang","BP",0.452
"inet","mets","Jiang","CC",0.5
"inet","mets","Wang","MF",0.5
"inet","mets","Wang","BP",0.45
"inet","mets","Wang","CC",0.5
"inet","t2d","Resnik","MF",0.5
"inet","t2d","Resnik","BP",0.5
"inet","t2d","Resnik","CC",0.483
"inet","t2d","Lin","MF",0.5
"inet","t2d","Lin","BP",0.483
"inet","t2d","Lin","CC",0.488
"inet","t2d","Rel","MF",0.5
"inet","t2d","Rel","BP",0.483
"inet","t2d","Rel","CC",0.479
"inet","t2d","Jiang","MF",0.5
"inet","t2d","Jiang","BP",0.483
"inet","t2d","Jiang","CC",0.488
"inet","t2d","Wang","MF",0.5
"inet","t2d","Wang","BP",0.48
"inet","t2d","Wang","CC",0.488
"inet","cad","Resnik","MF",0.49
"inet","cad","Resnik","BP",0.493
"inet","cad","Resnik","CC",0.49
"inet","cad","Lin","MF",0.491
"inet","cad","Lin","BP",0.49
"inet","cad","Lin","CC",0.49
"inet","cad","Rel","MF",0.491
"inet","cad","Rel","BP",0.491
"inet","cad","Rel","CC",0.491
"inet","cad","Jiang","MF",0.487
"inet","cad","Jiang","BP",0.491
"inet","cad","Jiang","CC",0.489
"inet","cad","Wang","MF",0.49
"inet","cad","Wang","BP",0.489
"inet","cad","Wang","CC",0.489
