topology,subject,time(s),memory(mb)
inet,cad,0.024,5.208
inet,cad,0.023,5.312
inet,cad,0.027,5.324
inet,cad,0.023,5.188
inet,cad,0.024,5.28
inet,cad,0.025,5.24
inet,cad,0.027,5.136
inet,cad,0.024,5.28
inet,cad,0.024,5.208
inet,cad,0.023,5.26
inet,cad,0.029,5.176
inet,cad,0.024,5.256
inet,cad,0.025,5.216
inet,cad,0.028,5.184
inet,cad,0.024,5.244
,cad Result,0.024933333333333,5.23413333333333
inet,mets,0.005,3.664
inet,mets,0.006,3.784
inet,mets,0.006,3.752
inet,mets,0.009,3.664
inet,mets,0.008,3.668
inet,mets,0.009,3.756
inet,mets,0.006,3.748
inet,mets,0.007,3.656
inet,mets,0.006,3.748
inet,mets,0.006,3.6
inet,mets,0.007,3.516
inet,mets,0.005,3.52
inet,mets,0.005,3.704
inet,mets,0.005,3.756
inet,mets,0.005,3.736
,mets Result,0.006333333333333,3.6848
inet,t2d,0.007,3.776
inet,t2d,0.006,3.684
inet,t2d,0.006,3.808
inet,t2d,0.005,3.768
inet,t2d,0.006,3.76
inet,t2d,0.006,3.724
inet,t2d,0.007,3.72
inet,t2d,0.006,3.716
inet,t2d,0.008,3.676
inet,t2d,0.005,3.48
inet,t2d,0.006,3.612
inet,t2d,0.005,3.576
inet,t2d,0.007,3.668
inet,t2d,0.006,3.836
inet,t2d,0.006,3.756
,t2d Result,0.006133333333333,3.704
string,cad,0.018,4.764
string,cad,0.022,4.788
string,cad,0.018,4.852
string,cad,0.017,4.672
string,cad,0.018,4.744
string,cad,0.018,4.824
string,cad,0.021,4.844
string,cad,0.019,4.736
string,cad,0.019,4.744
string,cad,0.021,4.728
string,cad,0.018,4.856
string,cad,0.018,4.764
string,cad,0.018,4.692
string,cad,0.018,4.796
string,cad,0.018,4.82
,cad Result,0.018733333333333,4.77493333333333
string,mets,0.007,3.72
string,mets,0.005,3.74
string,mets,0.007,3.66
string,mets,0.006,3.796
string,mets,0.005,3.72
string,mets,0.005,3.748
string,mets,0.006,3.768
string,mets,0.006,3.472
string,mets,0.007,3.788
string,mets,0.008,3.58
string,mets,0.006,3.468
string,mets,0.008,3.468
string,mets,0.008,3.788
string,mets,0.006,3.66
string,mets,0.006,3.652
,mets Result,0.0064,3.66853333333333
string,t2d,0.006,3.752
string,t2d,0.005,3.756
string,t2d,0.006,3.816
string,t2d,0.006,3.828
string,t2d,0.006,3.788
string,t2d,0.005,3.74
string,t2d,0.005,3.792
string,t2d,0.005,3.824
string,t2d,0.005,3.7
string,t2d,0.005,3.692
string,t2d,0.005,3.684
string,t2d,0.006,3.728
string,t2d,0.005,3.824
string,t2d,0.007,3.748
string,t2d,0.005,3.788
,t2d Result,0.005466666666667,3.764
